Player,Team,Position,Games_Played,Points,Rebounds,Assists,Steals,Blocks,Turnovers,FG_Percentage,3P_Percentage,FT_Percentage,MVP
LeBron James,Lakers,SF,72,25.0,7.9,7.8,1.2,0.6,3.7,51.3,36.5,69.8,1
Stephen Curry,Warriors,PG,63,32.0,5.5,5.8,1.2,0.1,3.4,48.2,42.1,91.6,1
Giannis Antetokounmpo,Bucks,PF,61,28.1,11.0,5.9,1.2,1.2,3.3,56.9,30.3,68.5,1
Nikola Jokic,Nuggets,C,72,26.4,10.8,8.3,1.3,0.7,3.1,56.6,38.8,86.8,1
Joel Embiid,76ers,C,51,28.5,10.6,2.8,1.0,1.4,3.1,51.3,37.7,85.9,0
Luka Doncic,Mavericks,PG,66,27.7,8.0,8.6,1.0,0.5,4.3,47.9,35.0,73.0,0
Damian Lillard,Blazers,PG,67,28.8,4.2,7.5,0.9,0.3,3.1,45.1,39.1,92.8,0
Kawhi Leonard,Clippers,SF,52,24.8,6.5,5.2,1.6,0.4,2.0,51.2,39.8,88.5,0
James Harden,Nets,SG,44,24.6,7.9,10.8,1.2,0.8,4.0,46.6,36.6,85.6,0
Zach LaVine,Bulls,SG,58,27.4,5.0,4.9,0.8,0.5,2.9,50.7,41.9,84.9,0
Bradley Beal,Wizards,SG,60,31.3,4.7,4.4,1.2,0.4,3.1,48.5,34.9,88.9,0
Russell Westbrook,Wizards,PG,65,22.2,11.5,11.7,1.4,0.4,4.8,43.9,31.5,65.6,0
Devin Booker,Suns,SG,67,25.6,4.2,4.3,0.8,0.3,3.1,48.4,34.0,86.7,0
Donovan Mitchell,Jazz,SG,53,26.4,4.4,5.2,1.0,0.3,2.9,43.8,38.6,84.5,0
Jayson Tatum,Celtics,PF,64,26.4,7.4,4.3,1.2,0.5,2.7,45.9,38.6,86.8,0
